,Birth Rate,Business Tax Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
0,0.025,0.72,25.0,41852.0,199070864638.0,0.044,199070864638.0,451.0,0.023,0.1,0.08,72.0,69.0,0.9,0.272,0.681,0.047,0.682,Africa,Algeria
1,0.046,0.521,66.0,13576.0,104115863405.0,0.034,104115863405.0,282.0,0.107,0.1,0.188,53.0,50.0,0.5,0.477,0.499,0.024,0.409,Africa,Angola
3,0.024,0.195,60.0,2215.0,15292424757.0,0.052,15292424757.0,152.0,0.039,0.1,0.11,46.0,47.0,1.5,0.34,0.625,0.035,0.565,Africa,Botswana
10,0.044,3.391,65.0,24497.0,23831631365.0,0.061,23831631365.0,336.0,0.09,0.0,0.438,51.0,48.0,0.2,0.453,0.519,0.028,0.404,Africa,"Congo, Dem. Rep."
14,0.024,0.436,8.0,77649.0,236000735704.0,0.049,236000735704.0,433.0,0.019,0.4,0.11,73.0,68.0,1.1,0.314,0.631,0.056,0.43,Africa,"Egypt, Arab Rep."
23,0.036,0.493,33.0,20179.0,34313315840.0,0.044,34313315840.0,393.0,0.05,0.3,0.15,62.0,59.0,0.7,0.425,0.549,0.026,0.24,Africa,Kenya
33,0.04,0.375,13.0,10202.0,12547888400.0,0.064,12547888400.0,230.0,0.068,0.0,0.191,50.0,49.0,0.3,0.454,0.514,0.032,0.312,Africa,Mozambique
34,0.027,0.218,66.0,1589.0,12451760766.0,0.086,12451760766.0,339.0,0.036,0.1,0.087,66.0,61.0,1.0,0.371,0.594,0.035,0.426,Africa,Namibia
36,0.042,0.327,28.0,118325.0,411743801712.0,0.057,411743801712.0,938.0,0.079,0.3,0.16,52.0,51.0,0.6,0.441,0.531,0.027,0.444,Africa,Nigeria
43,0.021,0.324,19.0,141372.0,403894316555.0,0.087,403894316555.0,200.0,0.034,0.3,0.09,57.0,53.0,1.2,0.296,0.651,0.053,0.627,Africa,South Africa
47,0.04,0.449,26.0,20747.0,23874165047.0,0.074,23874165047.0,172.0,0.039,0.0,0.15,61.0,59.0,0.6,0.449,0.52,0.031,0.288,Africa,Tanzania
51,0.043,0.14400000000000002,18.0,8462.0,19201691493.0,0.062,19201691493.0,183.0,0.059,0.1,0.188,57.0,54.0,0.6,0.468,0.505,0.026,0.392,Africa,Zambia
54,0.014,0.38799999999999996,8.0,2716.0,10142342770.0,0.037,10142342770.0,500.0,0.015,0.3,0.178,78.0,71.0,1.1,0.204,0.692,0.104,0.634,Asia,Armenia
55,0.019,0.4,8.0,12561.0,65951627200.0,0.05,65951627200.0,225.0,0.032,0.5,0.19,74.0,68.0,1.1,0.224,0.718,0.058,0.536,Asia,Azerbaijan
56,0.021,0.35,19.0,31294.0,111905616039.0,0.038,111905616039.0,302.0,0.037,0.1,0.133,71.0,69.0,0.6,0.311,0.642,0.047,0.312,Asia,Bangladesh
58,0.016,0.168,101.0,3832.0,16691360399.0,0.022,16691360399.0,96.0,0.008,0.6,0.055,80.0,76.0,1.1,0.262,0.7,0.038,0.759,Asia,Brunei Darussalam
60,0.012,0.635,38.0,2727728.0,7321891954613.0,0.051,7321891954613.0,358.0,0.013,0.4,0.066,76.0,74.0,0.7,0.18,0.735,0.085,0.506,Asia,China
61,0.014,0.165,2.0,3543.0,14434619972.0,0.094,14434619972.0,387.0,0.014,0.3,0.15,78.0,70.0,1.0,0.174,0.684,0.142,0.53,Asia,Georgia
63,0.021,0.629,29.0,749447.0,1880100141185.0,0.039,1880100141185.0,254.0,0.045,0.1,0.102,68.0,64.0,0.7,0.298,0.651,0.051,0.313,Asia,India
64,0.02,0.322,48.0,209009.0,845931645339.0,0.029,845931645339.0,266.0,0.026,0.1,0.124,72.0,68.0,1.0,0.296,0.653,0.051,0.507,Asia,Indonesia
65,0.008,0.484,22.0,461468.0,5905630870455.0,0.1,5905630870455.0,330.0,0.002,0.8,0.015,86.0,79.0,1.0,0.132,0.631,0.237,0.912,Asia,Japan
68,0.009,0.287,6.0,260440.0,1202463655510.0,0.074,1202463655510.0,225.0,0.003,0.8,0.058,84.0,78.0,1.1,0.157,0.728,0.114,0.82,Asia,"Korea, Rep."
69,0.027,0.33399999999999996,10.0,3097.0,6197766119.0,0.062,6197766119.0,210.0,0.025,0.2,0.402,74.0,66.0,1.2,0.301,0.656,0.043,0.353,Asia,Kyrgyz Republic
72,0.018,0.34,6.0,75907.0,289258937259.0,0.038,289258937259.0,133.0,0.007,0.6,0.049,77.0,72.0,1.3,0.272,0.678,0.05,0.717,Asia,Malaysia
74,0.023,0.24600000000000002,13.0,3607.0,8761426371.0,0.06,8761426371.0,192.0,0.028,0.1,0.166,71.0,63.0,1.1,0.27,0.692,0.038,0.685,Asia,Mongolia
77,0.026,0.34600000000000003,21.0,84845.0,213685918599.0,0.03,213685918599.0,560.0,0.072,0.1,0.144,67.0,65.0,0.6,0.349,0.608,0.043,0.37,Asia,Pakistan
78,0.025,0.445,36.0,40452.0,224095219329.0,0.044,224095219329.0,195.0,0.025,0.3,0.067,72.0,65.0,1.0,0.349,0.613,0.038,0.45,Asia,Philippines
79,0.01,0.271,3.0,33447.0,274065043106.0,0.042,274065043106.0,84.0,0.002,0.7,0.054,84.0,80.0,1.5,0.169,0.737,0.093,1.0,Asia,Singapore
80,0.018,1.129,37.0,10421.0,59178013928.0,0.033,59178013928.0,256.0,0.009,0.2,0.094,77.0,71.0,0.9,0.251,0.669,0.08,0.183,Asia,Sri Lanka
81,0.033,0.845,24.0,2395.0,6522732203.0,0.058,6522732203.0,224.0,0.043,0.1,0.248,71.0,64.0,0.8,0.358,0.61,0.032,0.265,Asia,Tajikistan
82,0.011,0.369,29.0,119147.0,345672232116.0,0.041,345672232116.0,264.0,0.012,0.2,0.069,77.0,71.0,1.2,0.189,0.72,0.091,0.454,Asia,Thailand
86,0.016,0.4,38.0,61210.0,135539487317.0,0.068,135539487317.0,941.0,0.02,0.4,0.17,80.0,71.0,1.4,0.231,0.703,0.065,0.31,Asia,Vietnam
87,0.013,0.315,6.0,2173.0,12890867763.0,0.06,12890867763.0,371.0,0.014,0.5,0.124,80.0,74.0,1.0,0.221,0.676,0.103,0.532,Europe,Albania
90,0.012,0.623,10.0,29501.0,59734593905.0,0.049,59734593905.0,654.0,0.004,0.4,0.136,77.0,65.0,1.1,0.149,0.712,0.138,0.75,Europe,Belarus
92,0.009,0.237,40.0,7095.0,18252896439.0,0.099,18252896439.0,422.0,0.006,0.6,0.074,79.0,73.0,0.8,0.169,0.678,0.153,0.393,Europe,Bosnia and Herzegovina
93,0.01,0.272,18.0,19216.0,53542780661.0,0.073,53542780661.0,500.0,0.011,0.5,0.106,78.0,71.0,1.4,0.134,0.68,0.186,0.726,Europe,Bulgaria
94,0.01,0.21899999999999997,8.0,8439.0,61520901516.0,0.068,61520901516.0,196.0,0.004,0.6,0.097,80.0,74.0,1.2,0.151,0.671,0.177,0.578,Europe,Croatia
96,0.01,0.48100000000000004,20.0,43429.0,216061200559.0,0.075,216061200559.0,557.0,0.003,0.7,0.057,81.0,75.0,1.2,0.143,0.699,0.158,0.732,Europe,Czech Republic
98,0.011,0.5760000000000001,7.0,5603.0,22542967739.0,0.058,22542967739.0,81.0,0.003,0.8,0.061,81.0,71.0,1.4,0.155,0.668,0.176,0.68,Europe,Estonia
104,0.009,0.52,4.0,24964.0,137452115093.0,0.079,137452115093.0,277.0,0.006,0.7,0.083,79.0,71.0,1.2,0.146,0.685,0.169,0.693,Europe,Hungary
105,0.014,0.29600000000000004,5.0,5731.0,14042801904.0,0.092,14042801904.0,140.0,0.002,0.9,0.077,84.0,81.0,1.1,0.208,0.669,0.123,0.937,Europe,Iceland
108,0.009,0.677,6.0,167416.0,2196336800620.0,0.092,2196336800620.0,285.0,0.003,0.5,0.046,85.0,80.0,1.6,0.14,0.654,0.205,0.684,Europe,Italy
110,0.009,0.371,16.0,4371.0,28480338368.0,0.06,28480338368.0,290.0,0.008,0.7,0.064,79.0,69.0,1.1,0.143,0.672,0.185,0.676,Europe,Latvia
114,0.011,0.084,3.0,3122.0,10395222334.0,0.069,10395222334.0,119.0,0.008,0.6,0.089,77.0,73.0,1.1,0.171,0.71,0.118,0.57,Europe,"Macedonia, FYR"
115,0.01,0.41,40.0,857.0,9302057270.0,0.087,9302057270.0,139.0,0.005,0.7,0.047,83.0,79.0,1.2,0.153,0.697,0.15,0.948,Europe,Malta
116,0.012,0.308,9.0,3331.0,7016162818.0,0.114,7016162818.0,228.0,0.014,0.4,0.144,73.0,65.0,0.9,0.165,0.723,0.112,0.449,Europe,Moldova
118,0.012,0.209,10.0,1179.0,4501753898.0,0.072,4501753898.0,372.0,0.006,0.4,0.097,77.0,72.0,1.9,0.193,0.682,0.126,0.633,Europe,Montenegro
119,0.011,0.396,8.0,77419.0,832755438977.0,0.119,832755438977.0,127.0,0.004,0.9,0.02,83.0,79.0,1.2,0.173,0.667,0.159,0.878,Europe,Netherlands
123,0.01,0.431,14.0,35830.0,182610666616.0,0.056,182610666616.0,222.0,0.012,0.4,0.121,78.0,71.0,1.1,0.15,0.701,0.149,0.54,Europe,Romania
124,0.013,0.469,29.0,730970.0,1904793021649.0,0.061,1904793021649.0,290.0,0.01,0.5,0.085,76.0,64.0,1.4,0.151,0.718,0.13,0.737,Europe,Russian Federation
126,0.009,0.34,13.0,16185.0,43749934551.0,0.103,43749934551.0,279.0,0.006,0.4,0.172,77.0,72.0,1.3,0.167,0.695,0.138,0.553,Europe,Serbia
131,0.01,0.289,18.0,25375.0,658867317929.0,0.11,658867317929.0,63.0,0.004,0.9,0.027,85.0,81.0,1.3,0.149,0.679,0.172,0.737,Europe,Switzerland
133,0.011,0.5710000000000001,24.0,126438.0,163421733019.0,0.073,163421733019.0,657.0,0.01,0.3,0.159,76.0,66.0,1.2,0.14,0.704,0.156,0.689,Europe,Ukraine
134,0.013,0.361,12.0,188074.0,2462484285580.0,0.094,2462484285580.0,110.0,0.004,0.9,0.005,83.0,79.0,1.2,0.175,0.656,0.169,0.816,Europe,United Kingdom
135,0.016,0.135,9.0,9506.0,29044378668.0,0.038,29044378668.0,36.0,0.006,0.8,0.068,77.0,76.0,1.3,0.198,0.781,0.021,0.886,Middle East,Bahrain
136,0.019,0.441,11.0,212145.0,528426099489.0,0.068,528426099489.0,344.0,0.016,0.2,0.11,75.0,72.0,0.7,0.236,0.712,0.052,0.712,Middle East,"Iran, Islamic Rep."
137,0.032,0.278,32.0,40220.0,191176927521.0,0.027,191176927521.0,312.0,0.029,0.1,0.136,73.0,65.0,0.8,0.409,0.558,0.033,0.691,Middle East,Iraq
138,0.021,0.302,20.0,23254.0,258216783343.0,0.076,258216783343.0,235.0,0.003,0.7,0.06,84.0,80.0,1.2,0.273,0.622,0.105,0.919,Middle East,Israel
139,0.028,0.27699999999999997,12.0,7064.0,28840197019.0,0.088,28840197019.0,151.0,0.017,0.3,0.087,75.0,72.0,1.1,0.346,0.62,0.034,0.827,Middle East,Jordan
140,0.021,0.107,32.0,32523.0,160600006232.0,0.026,160600006232.0,98.0,0.009,0.7,0.052,75.0,73.0,1.6,0.251,0.728,0.021,0.983,Middle East,Kuwait
141,0.013,0.302,9.0,6349.0,40078938640.0,0.074,40078938640.0,180.0,0.009,0.5,0.075,82.0,77.0,0.8,0.227,0.688,0.085,0.873,Middle East,Lebanon
142,0.022,0.22,8.0,25276.0,69971912138.0,0.024,69971912138.0,62.0,0.01,0.5,0.062,79.0,74.0,1.6,0.257,0.717,0.026,0.757,Middle East,Oman
143,0.011,0.113,9.0,33285.0,169804731108.0,0.019,169804731108.0,36.0,0.007,0.7,0.055,79.0,77.0,1.2,0.134,0.856,0.01,0.988,Middle East,Qatar
147,0.032,0.327,12.0,7260.0,29207296703.0,0.05,29207296703.0,248.0,0.044,0.1,0.25,64.0,61.0,0.5,0.413,0.559,0.028,0.323,Middle East,"Yemen, Rep."
149,0.014,0.473,3.0,122888.0,1386889147177.0,0.092,1386889147177.0,109.0,0.004,0.8,0.077,84.0,80.0,1.0,0.189,0.674,0.137,0.889,Oceania,Australia
157,0.014,0.344,1.0,18167.0,163841041662.0,0.103,163841041662.0,172.0,0.005,0.8,0.061,83.0,79.0,1.1,0.204,0.663,0.133,0.862,Oceania,New Zealand
164,0.017,1.077,25.0,80112.0,557727273773.0,0.079,557727273773.0,415.0,0.013,0.5,0.141,80.0,72.0,1.5,0.246,0.646,0.107,0.911,The Americas,Argentina
170,0.026,0.8,49.0,7704.0,23948541156.0,0.05,23948541156.0,1080.0,0.033,0.3,0.109,69.0,65.0,0.8,0.356,0.596,0.048,0.669,The Americas,Bolivia
171,0.015,0.6629999999999999,119.0,270028.0,2476694763271.0,0.089,2476694763271.0,2600.0,0.014,0.5,0.439,77.0,70.0,1.2,0.25,0.679,0.071,0.846,The Americas,Brazil
172,0.011,0.261,5.0,251845.0,1778632046933.0,0.109,1778632046933.0,131.0,0.005,0.8,0.03,83.0,79.0,0.8,0.164,0.691,0.145,0.811,The Americas,Canada
174,0.014,0.245,8.0,33574.0,251162316598.0,0.071,251162316598.0,316.0,0.007,0.5,0.09,82.0,76.0,1.3,0.217,0.688,0.094,0.888,The Americas,Chile
175,0.019,0.764,14.0,31613.0,335415156702.0,0.065,335415156702.0,193.0,0.015,0.4,0.112,77.0,70.0,1.0,0.284,0.658,0.058,0.753,The Americas,Colombia
176,0.016,0.5529999999999999,60.0,4655.0,41237296807.0,0.102,41237296807.0,246.0,0.009,0.4,0.161,82.0,77.0,0.9,0.244,0.689,0.067,0.729,The Americas,Costa Rica
180,0.022,0.41200000000000003,19.0,7382.0,55433248935.0,0.054,55433248935.0,324.0,0.025,0.4,0.156,76.0,70.0,0.9,0.308,0.631,0.061,0.749,The Americas,Dominican Republic
185,0.032,0.409,37.0,10163.0,47654789735.0,0.067,47654789735.0,344.0,0.028,0.1,0.134,75.0,68.0,1.3,0.412,0.544,0.045,0.498,The Americas,Guatemala
187,0.026,0.40399999999999997,105.0,3211.0,7516834160.0,0.085,7516834160.0,184.0,0.057,0.1,0.116,64.0,61.0,0.4,0.358,0.598,0.045,0.535,The Americas,Haiti
188,0.026,0.436,14.0,4740.0,17710325578.0,0.084,17710325578.0,224.0,0.02,0.2,0.186,76.0,71.0,1.0,0.362,0.594,0.043,0.523,The Americas,Honduras
189,0.015,0.44299999999999995,7.0,3066.0,14433926129.0,0.052,14433926129.0,414.0,0.015,0.4,0.195,76.0,71.0,1.1,0.284,0.637,0.079,0.539,The Americas,Jamaica
190,0.019,0.527,6.0,186171.0,1170085556896.0,0.06,1170085556896.0,347.0,0.014,0.4,0.049,79.0,75.0,0.8,0.295,0.643,0.061,0.781,The Americas,Mexico
191,0.024,0.669,39.0,3038.0,9898547558.0,0.076,9898547558.0,207.0,0.021,0.1,0.105,77.0,71.0,0.8,0.339,0.615,0.046,0.575,The Americas,Nicaragua
192,0.02,0.436,8.0,4058.0,33270500000.0,0.079,33270500000.0,482.0,0.016,0.4,0.069,80.0,74.0,1.8,0.29,0.641,0.069,0.654,The Americas,Panama
193,0.024,0.35,35.0,4858.0,25071193102.0,0.089,25071193102.0,387.0,0.02,0.2,0.174,74.0,70.0,1.0,0.331,0.616,0.053,0.587,The Americas,Paraguay
194,0.02,0.366,25.0,20582.0,170563949736.0,0.047,170563949736.0,309.0,0.014,0.4,0.187,77.0,72.0,1.1,0.296,0.643,0.061,0.773,The Americas,Peru
202,0.015,0.29100000000000004,41.0,20918.0,23676348287.0,0.053,23676348287.0,210.0,0.02,0.6,0.08,73.0,66.0,1.4,0.207,0.708,0.085,0.089,The Americas,Trinidad and Tobago
204,0.013,0.465,5.0,2191193.0,15533800000000.0,0.177,15533800000000.0,187.0,0.006,0.7,0.033,81.0,76.0,0.9,0.197,0.669,0.133,0.809,The Americas,United States
205,0.015,0.419,7.0,4430.0,47236710623.0,0.088,47236710623.0,336.0,0.01,0.5,0.098,80.0,73.0,1.4,0.223,0.638,0.139,0.946,The Americas,Uruguay
206,0.02,0.628,141.0,70198.0,316482176579.0,0.045,316482176579.0,864.0,0.014,0.4,0.172,77.0,71.0,1.0,0.291,0.651,0.058,0.888,The Americas,"Venezuela, RB"
